Code;PG_class;STYLE;LOD;Layer;OSM_Tags;Description;Enabled;Icon
18;POI_SMALL;DARK_GRAY_CIRCLE;1;pois;shelter_type=weather_shelter;Укрытие;1;палатка
18;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=shelter;Укрытие;0;палатка
18;POI_SMALL;DARK_GRAY_CIRCLE;1;pois;tourism=camp_site;Кемпинг;1;палатка
17;POI_SMALL;DARK_GRAY_CIRCLE;1;pois;tourism=alpine_hut;Альпийский домик;1;домик
17;POI_SMALL;DARK_GRAY_CIRCLE;1;pois;tourism=wilderness_hut;Лесная избушка;1;домик
18;POI_SMALL;DARK_GRAY_CIRCLE;1;pois;tourism=caravan_site;Стоянка автодомов;1;палатка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=supermarket;Супермаркет;1;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=bakery;Пекарня;1;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=kiosk;Киоск;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=mall;Торговый центр;1;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=department_store;Универмаг;1;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=general;Универсальный магазин;1;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=convenience;Минимаркет;1;тележка
19;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=clothes;Магазин одежды;1;футболка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=florist;Цветочный магазин;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=chemist;Магазин косметики;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=books;Книжный магазин;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=butcher;Мясная лавка;1;тележка
19;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=shoes;Обувной магазин;1;футболка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=beverages;Магазин напитков;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=alcohol;Алкомаркет;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=optician;Оптика;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=jewelry;Ювелирный магазин;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=gift;Магазин подарков;0;тележка
20;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=sports;Спортивный магазин;1;штанга
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=stationery;Канцтовары;0;тележка
20;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=outdoor;Товары для туризма;1;штанга
21;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=mobile_phone;Салон связи;1;компьютер
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=toys;Магазин игрушек;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=newsagent;Газетный киоск;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=greengrocer;Овощная лавка;1;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=beauty;Салон красоты;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=video;Видеомагазин;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=car;Автосалон;0;тележка
22;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=bicycle;Веломагазин;1;велосипед
23;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=doityourself;Строительный магазин;1;молоток
23;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=hardware;Хозмаг;1;молоток
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=furniture;Мебельный магазин;0;тележка
21;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=computer;Компьютерный магазин;1;компьютер
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=garden_centre;Садовый центр;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=hairdresser;Парикмахерская;0;ромб
23;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=car_repair;Автосервис;1;молоток
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=car_rental;Прокат авто;0;ромб
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=car_wash;Автомойка;0;ромб
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=car_sharing;Каршеринг;0;ромб
22;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=bicycle_rental;Прокат велосипедов;0;велосипед
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=travel_agency;Турагентство;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=laundry;Прачечная;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;shop=dry_cleaning;Химчистка;0;тележка
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=vending_machine;Торговый автомат;1;тележка
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=bank;Банк;1;доллар
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=atm;Банкомат;1;доллар
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;tourism=information;Инфо для туристов;0;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;tourism=attraction;Достопримечательность;1;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;tourism=museum;Музей;0;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;historic=monument;Памятник;1;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;historic=memorial;Мемориал;1;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;tourism=artwork;Искусство;1;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;historic=castle;Замок;1;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;historic=ruins;Руины;1;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;historic=archaeological_site;Археологический объект;1;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;historic=wayside_cross;Придорожный крест;0;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;historic=wayside_shrine;Часовня;0;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;historic=battlefield;Поле битвы;0;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;historic=fort;Форт;1;крепость
18;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;tourism=picnic_site;Место для пикника;1;палатка
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;tourism=viewpoint;Смотровая площадка;1;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;tourism=zoo;Зоопарк;0;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;tourism=theme_park;Парк развлечений;0;крепость
25;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=toilets;Туалет;1;человек
26;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=drinking_water;Питьевая вода;1;капля
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;man_made=lighthouse;Маяк;1;крепость
26;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;man_made=water_well;Колодец;1;капля
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;man_made=watermill;Водяная мельница;0;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=place_of_worship;Культовое сооружение;1;крепость
26;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;natural=spring;Родник;1;капля
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;natural=glacier;Ледник;0;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;natural=peak;Вершина;0;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;natural=cliff;Утес;0;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;natural=volcano;Вулкан;1;крепость
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;natural=cave_entrance;Вход в пещеру;0;крепость
27;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;natural=beach;Пляж;0;ромб
27;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;highway=ford;Брод;1;ромб
28;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=fuel;АЗС;1;автозаправка
27;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;highway=services;Служебный проезд;0;ромб
27;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=parking;Парковка;0;ромб
22;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=bicycle_repair_station;Ремонт велосипедов;1;велосипед
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;waterway=waterfall;Водопад;1;крепость
29;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;railway=station;Ж/д станция;1;автомобиль
29;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;railway=halt;Ж/д платформа;1;автомобиль
29;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;railway=tram_stop;Трамвайная остановка;0;автомобиль
29;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;highway=bus_stop;Автобусная остановка;0;автомобиль
29;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=bus_station;Автовокзал;1;автомобиль
30;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=taxi;Стоянка такси;0;автомобиль
29;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=airport;Аэропорт;1;самолёт
29;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;aeroway=aerodrome;Аэродром;0;самолёт
29;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;aeroway=airfield;Летное поле;0;автомобиль
29;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;aeroway=helipad;Вертолетная площадка;0;автомобиль
29;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;aeroway=apron;Перрон;0;автомобиль
29;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=ferry_terminal;Паромный терминал;1;автомобиль
29;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;aerialway=station;Станция канатной дороги;0;автомобиль
30;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=shower;Душ;1;душ
31;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;natural=saddle;Перевал;1;ромб
24;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;natural=hot_spring;Горячий источник;1;крепость
18;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;highway=rest_area;Зона отдыха;1;палатка
